x_RecommendationDescription,x_RecommendationSolution,x_RecommendationImpact,x_RecommendationCategory,x_RecommendationProvider,x_RecommendationTypeId,x_RecommendationControl,x_RecommendationMaturityLevel,x_ResourceType,x_RecommendationId,recommendationSource,SourceFile,description,acorlGuid,recommendationTypeId,recommendationControl,recommendationImpact,recommendationResourceType,recommendationMetadataState,remediationAction,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceType,x_RecommendationDetails,x_ResourceGroupName,ResourceCategory,x_RecommendationDate
Choose the right app service plan,"Choose the right App Service Plan tier based on workload needs: Free/Shared for testing, Basic/Standard for predictable production workloads, and Premium for high-performance apps requiring advanced features. Regularly assess usage to avoid over-provisioning and eliminate unnecessary costs.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Web/serverfarms,805b2668-ff6a-4c7d-86de-4fecb9279213,Manual,content/azure-resources/Web/serverfarms/recommendations.yaml,Choose the right app service plan,805b2668-ff6a-4c7d-86de-4fecb9279213,,UsageOptimization/OptimizeResources,Medium,Microsoft.Web/serverfarms,Active,"Choose the right App Service Plan tier based on workload needs: Free/Shared for testing, Basic/Standard for predictable production workloads, and Premium for high-performance apps requiring advanced features. Regularly assess usage to avoid over-provisioning and eliminate unnecessary costs.
",Optimize existing resources,False,False,False,,"[{'name': 'Azure App Service plan overview', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/overview-hosting-plans'}, {'name': 'Understand the full billing model for Azure App Service', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/overview-manage-costs#understand-the-full-billing-model-for-azure-app-service'}]",YAML,,,,
Upgrade from PremiumV2 to Premium V3,"Upgrade your app service plans to Premium V3 for improved performance while saving around 20% compared to Premium V2. Use the App Service Pricing Calculator to compare costs and optimize your plan.
",High,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Web/serverfarms,b0d55865-daec-451a-8568-f779fa692bc4,Manual,content/azure-resources/Web/serverfarms/recommendations.yaml,Upgrade from PremiumV2 to Premium V3,b0d55865-daec-451a-8568-f779fa692bc4,,UsageOptimization/OptimizeResources,High,Microsoft.Web/serverfarms,Active,"Upgrade your app service plans to Premium V3 for improved performance while saving around 20% compared to Premium V2. Use the App Service Pricing Calculator to compare costs and optimize your plan.
",Optimize existing resources,False,False,False,,"[{'name': 'Configure Premium V3 tier for Azure App Service', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/app-service-configure-premium-tier'}, {'name': 'Azure App Service on Windows pricing', 'url': 'https://azure.microsoft.com/en-us/pricing/details/app-service/windows/'}]",YAML,,,,
Consider consolidating apps into fewer plans,"To save costs, host multiple apps in one App Service Plan if resources allow. Ensure the plan can handle the additional load to avoid performance issues. Isolate an app in a new plan if it's resource-intensive, requires independent scaling, or needs deployment in a different region. Refer to SKU limits to avoid overloading. Keep in mind that active slots also consume resources.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Web/serverfarms,cff32dc5-57ec-45bf-ba4e-f695b13de92b,Manual,content/azure-resources/Web/serverfarms/recommendations.yaml,Consider consolidating apps into fewer plans,cff32dc5-57ec-45bf-ba4e-f695b13de92b,,UsageOptimization/OptimizeResources,Medium,Microsoft.Web/serverfarms,Active,"To save costs, host multiple apps in one App Service Plan if resources allow. Ensure the plan can handle the additional load to avoid performance issues. Isolate an app in a new plan if it's resource-intensive, requires independent scaling, or needs deployment in a different region. Refer to SKU limits to avoid overloading. Keep in mind that active slots also consume resources.
",Optimize existing resources,False,False,False,,"[{'name': 'Should I put an app in a new plan or an existing plan?', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/overview-hosting-plans#should-i-put-an-app-in-a-new-plan-or-an-existing-plan'}]",YAML,,,,
Implement efficient autoscaling,"Use autoscaling instead of manual instance adjustments to optimize performance and costs. Choose a rule-free autoscaling option for simplicity, or define precise rules based on thorough performance testing. Ensure enough resources are available to meet performance targets, and account for application initialization time when setting scaling rules.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Web/serverfarms,cc18a06a-82cb-40ae-b72a-56b923f5ddbc,Manual,content/azure-resources/Web/serverfarms/recommendations.yaml,Implement efficient autoscaling,cc18a06a-82cb-40ae-b72a-56b923f5ddbc,,UsageOptimization/OptimizeResources,Medium,Microsoft.Web/serverfarms,Active,"Use autoscaling instead of manual instance adjustments to optimize performance and costs. Choose a rule-free autoscaling option for simplicity, or define precise rules based on thorough performance testing. Ensure enough resources are available to meet performance targets, and account for application initialization time when setting scaling rules.
",Optimize existing resources,False,False,False,,"[{'name': 'Overview of autoscale in Azure', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/autoscale/autoscale-overview'}]",YAML,,,,
Consider Serverless Options for Microservices,"Reduce costs and simplify management by replacing App Services with Azure Functions for event-driven workloads and Logic Apps for workflow automation. These serverless options scale automatically, eliminating infrastructure overhead while optimizing performance.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Web/serverfarms,bdaf8daa-586e-4779-ae6e-00ac2fc65327,Manual,content/azure-resources/Web/serverfarms/recommendations.yaml,Consider Serverless Options for Microservices,bdaf8daa-586e-4779-ae6e-00ac2fc65327,,UsageOptimization/OptimizeResources,Low,Microsoft.Web/serverfarms,Active,"Reduce costs and simplify management by replacing App Services with Azure Functions for event-driven workloads and Logic Apps for workflow automation. These serverless options scale automatically, eliminating infrastructure overhead while optimizing performance.
",Optimize existing resources,False,False,False,,"[{'name': 'Azure serverless overview Create cloud-based apps and solutions with Azure Logic Apps and Azure Functions', 'url': 'https://learn.microsoft.com/en-us/azure/logic-apps/logic-apps-serverless-overview'}]",YAML,,,,
Analyze Network Traffic Patterns,"Review inbound and outbound traffic patterns using Azure Network Watcher to identify inefficient routing or unnecessary data transfers that may increase costs.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network,23d0c37c-dbfe-4b99-ab17-1f0dcf35e36f,Manual,content/azure-resources/network/recommendations.yaml,Analyze Network Traffic Patterns,23d0c37c-dbfe-4b99-ab17-1f0dcf35e36f,,UsageOptimization/OptimizeResources,Low,Microsoft.Network,Active,"Review inbound and outbound traffic patterns using Azure Network Watcher to identify inefficient routing or unnecessary data transfers that may increase costs.
",Optimize cost,False,False,False,,"[{'name': 'Overview Azure Network Watcher', 'url': 'https://learn.microsoft.com/en-us/azure/network-watcher/network-watcher-overview'}]",YAML,,,,
Minimize Cross-Region Traffic,"To minimize cross-region data transfer costs, design your applications to keep traffic within the same Azure region whenever possible. Group related resources within the same region to avoid unnecessary data transfer charges.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network,d68bbda7-1896-4900-89a3-8e619190037b,Manual,content/azure-resources/network/recommendations.yaml,Minimize Cross-Region Traffic,d68bbda7-1896-4900-89a3-8e619190037b,,UsageOptimization/OptimizeResources,Low,Microsoft.Network,Active,"To minimize cross-region data transfer costs, design your applications to keep traffic within the same Azure region whenever possible. Group related resources within the same region to avoid unnecessary data transfer charges.
",Optimize cost,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/architecture/networking/#best-practices'}, {'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/architecture/networking/guide/spoke-to-spoke-networking'}]",YAML,,,,
Evaluate VNet Peering vs. ExpressRoute for Inter-Region Connections,"VNet Peering typically provides lower latency and costs for inter-region traffic within Azure. However, for high-volume traffic, ExpressRoute may be a more cost-effective option.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network,2b2574f8-e392-41d8-8b18-e6cf8e11a905,Manual,content/azure-resources/network/recommendations.yaml,Evaluate VNet Peering vs. ExpressRoute for Inter-Region Connections,2b2574f8-e392-41d8-8b18-e6cf8e11a905,,UsageOptimization/OptimizeResources,Low,Microsoft.Network,Active,"VNet Peering typically provides lower latency and costs for inter-region traffic within Azure. However, for high-volume traffic, ExpressRoute may be a more cost-effective option.
",Optimize cost,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/expressroute/virtual-network-connectivity-guidance'}]",YAML,,,,
Utilize Basic SKUs for Test Environments,"Use the Basic SKU for non-production environments, such as development or testing, where high availability and advanced features are not required. Therefore, for non-production environments, while Basic SKUs can be utilized, ensure that the specific resources you plan to use are not slated for retirement and that their feature limitations align with your testing or development needs.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network,8a6cea3d-3973-4076-b030-e561f5073946,Manual,content/azure-resources/network/recommendations.yaml,Utilize Basic SKUs for Test Environments,8a6cea3d-3973-4076-b030-e561f5073946,,UsageOptimization/OptimizeResources,Low,Microsoft.Network,Active,"Use the Basic SKU for non-production environments, such as development or testing, where high availability and advanced features are not required. Therefore, for non-production environments, while Basic SKUs can be utilized, ensure that the specific resources you plan to use are not slated for retirement and that their feature limitations align with your testing or development needs.
",Optimize cost,False,False,False,,"[{'name': 'About gateway SKUs', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/about-gateway-skus'}]",YAML,,,,
Monitor Bandwidth Usage with Azure Monitor,"Set up alerts to detect traffic spikes that may indicate increased data transfer costs.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network,add87d64-9441-44c6-b808-5d586417e365,Manual,content/azure-resources/network/recommendations.yaml,Monitor Bandwidth Usage with Azure Monitor,add87d64-9441-44c6-b808-5d586417e365,,UsageOptimization/OptimizeResources,Low,Microsoft.Network,Active,"Set up alerts to detect traffic spikes that may indicate increased data transfer costs.
",Optimize cost,False,False,False,,"[{'name': 'Choosing the right type of alert rule', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/alerts/alerts-types'}]",YAML,,,,
Choose Between Microsoft Network and Public Internet,"Azure routes outbound traffic through the Microsoft global network, offering lower latency and higher reliability. However, for large volumes of outbound traffic, routing through the public internet can be more cost-effective. It's essential to evaluate your application's performance requirements and data transfer costs to determine the most suitable routing option.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network,ff44a480-66fb-48bb-ad80-a660fe912c2b,Manual,content/azure-resources/network/recommendations.yaml,Choose Between Microsoft Network and Public Internet,ff44a480-66fb-48bb-ad80-a660fe912c2b,,UsageOptimization/OptimizeResources,Low,Microsoft.Network,Active,"Azure routes outbound traffic through the Microsoft global network, offering lower latency and higher reliability. However, for large volumes of outbound traffic, routing through the public internet can be more cost-effective. It's essential to evaluate your application's performance requirements and data transfer costs to determine the most suitable routing option.
",Optimize cost,False,False,False,,"[{'name': 'What is routing preference', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/routing-preference-overview'}]",YAML,,,,
Purchase RI for supported services based on usage - Network appliance virtual machine,"Purchase Reserved Instances (RI) for Network Appliance Virtual Machines to save up to 72% on costs by committing to a one- or three-year term, ensuring predictable spending for consistently used network appliances like firewalls and VPN gateways.
",Low,Cost,Microsoft.FinOpsToolkit,,RateOptimization/OptimizingUsage,Preview,Microsoft.Network/networkVirtualAppliances,e551192c-8603-43e1-a4c8-6ccbfcc9ee4e,Manual,content/azure-resources/network/networkVirtualAppliances/recommendations.yaml,Purchase RI for supported services based on usage - Network appliance virtual machine,e551192c-8603-43e1-a4c8-6ccbfcc9ee4e,,RateOptimization/OptimizingUsage,Low,Microsoft.Network/networkVirtualAppliances,Active,"Purchase Reserved Instances (RI) for Network Appliance Virtual Machines to save up to 72% on costs by committing to a one- or three-year term, ensuring predictable spending for consistently used network appliances like firewalls and VPN gateways.
",Optimize cost,False,False,False,,"[{'name': 'Save costs with Azure Reserved VM Instances', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/prepay-reserved-vm-instances'}]",YAML,,,,
Consider migrating to Front Door Standard/Premium,"Front Door Classic tier contains a large number of domains or routing rules, which adds extra charges. Front Door Standard or Premium doesn't charge per additional domain or routing rule. Consider migrating to save costs.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/frontDoors,c4bb7be2-7990-40d8-97e1-e446a7499896,Manual,content/azure-resources/network/frontDoors/recommendations.yaml,Consider migrating to Front Door Standard/Premium,c4bb7be2-7990-40d8-97e1-e446a7499896,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/frontDoors,Active,"Front Door Classic tier contains a large number of domains or routing rules, which adds extra charges. Front Door Standard or Premium doesn't charge per additional domain or routing rule. Consider migrating to save costs.
",Optimize cost,False,False,False,,"[{'name': 'Consider migrating to Front Door Standard/Premium', 'url': 'https://learn.microsoft.com/en-us/azure/advisor/advisor-reference-cost-recommendations#consider-migrating-to-front-door-standardpremium'}]",YAML,,,,
Use Bastion Developer SKU for Non-Production Environments,"A cost-effective option for development and testing environments.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/bastionHosts,50a60052-4694-4552-b164-6239e0821ae5,Manual,content/azure-resources/network/bastionHosts/recommendations.yaml,Use Bastion Developer SKU for Non-Production Environments,50a60052-4694-4552-b164-6239e0821ae5,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/bastionHosts,Active,"A cost-effective option for development and testing environments.
",Optimize cost,False,False,False,,"[{'name': 'Deploy Azure Bastion - Developer SKU', 'url': 'https://learn.microsoft.com/en-us/azure/bastion/quickstart-developer-sku'}]",YAML,,,,
Migrate from Basic Load Balancer to Standard Load Balancer,"The Basic Load Balancer will be discontinued in September 2025. Migrate to the Standard Load Balancer for advanced features and ongoing support.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/loadBalancers,f1928415-f734-4108-9f68-2022c1acb0b0,Manual,content/azure-resources/network/loadBalancer/recommendations.yaml,Migrate from Basic Load Balancer to Standard Load Balancer,f1928415-f734-4108-9f68-2022c1acb0b0,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/loadBalancers,Active,"The Basic Load Balancer will be discontinued in September 2025. Migrate to the Standard Load Balancer for advanced features and ongoing support.
",Advanced features,False,False,False,,"[{'name': 'Upgrading from Basic Load Balancer - Guidance', 'url': 'https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-basic-upgrade-guidance'}]",YAML,,,,
Validate Backend Pool Configuration,"Ensure backend pool validation for efficient Load Balancer utilization.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/loadBalancers,c6836d0d-9cf6-4cb0-bcfb-8892309e59b3,Manual,content/azure-resources/network/loadBalancer/recommendations.yaml,Validate Backend Pool Configuration,c6836d0d-9cf6-4cb0-bcfb-8892309e59b3,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/loadBalancers,Active,"Ensure backend pool validation for efficient Load Balancer utilization.
",Efficient utilization,False,False,False,,"[{'name': 'Backend pool management', 'url': 'https://learn.microsoft.com/en-us/azure/load-balancer/backend-pool-management'}]",YAML,,,,
Microsoft Azure load balancers enable dynamic scaling based on application demand,"The dynamic scaling ensures that resources are efficiently allocated, reducing unnecessary expenditures during periods of low demand and maintaining performance during peak usage.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/loadBalancer,fcd8fef4-4c24-4563-af00-2391630b00c6,Manual,content/azure-resources/network/loadBalancer/recommendations.yaml,Microsoft Azure load balancers enable dynamic scaling based on application demand,fcd8fef4-4c24-4563-af00-2391630b00c6,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/loadBalancer,Active,"The dynamic scaling ensures that resources are efficiently allocated, reducing unnecessary expenditures during periods of low demand and maintaining performance during peak usage.
",Optimize cost,False,False,False,,"[{'name': 'Guidance for Virtual Machine Scale Sets with Azure Load Balancer', 'url': 'https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-standard-virtual-machine-scale-sets'}]",YAML,,,,
Use Azure Traffic Manager for Geographic Routing,"Azure Traffic Manager's geographic routing method allows you to direct user traffic based on the source IP address's geographic location, enabling you to serve users from the nearest endpoint, thereby reducing latency and minimizing unnecessary cross-region traffic. 
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/trafficManagerProfiles,2d240a90-bd00-488d-80fd-0bf45b0dae2e,Manual,content/azure-resources/network/trafficManagerProfiles/recommendations.yaml,Use Azure Traffic Manager for Geographic Routing,2d240a90-bd00-488d-80fd-0bf45b0dae2e,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/trafficManagerProfiles,Active,"Azure Traffic Manager's geographic routing method allows you to direct user traffic based on the source IP address's geographic location, enabling you to serve users from the nearest endpoint, thereby reducing latency and minimizing unnecessary cross-region traffic. 
",Reduce latency,False,False,False,,"[{'name': 'Configure the geographic traffic routing method using Traffic Manager', 'url': 'https://learn.microsoft.com/en-us/azure/traffic-manager/traffic-manager-configure-geographic-routing-method'}]",YAML,,,,
Use Route Tables and NSGs to Optimize Traffic Flow,"By leveraging custom route tables, you can direct traffic through specific paths, such as Network Virtual Appliances (NVAs), ensuring efficient routing and control over data flow. NSGs allow you to define security rules to permit or deny traffic to and from your resources, enhancing security by controlling access.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/networkSecurityGroups,4b26aedb-e0e0-4072-95ba-319c7d99adc6,Manual,content/azure-resources/network/networkSecurityGroups/recommendations.yaml,Use Route Tables and NSGs to Optimize Traffic Flow,4b26aedb-e0e0-4072-95ba-319c7d99adc6,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/networkSecurityGroups,Active,"By leveraging custom route tables, you can direct traffic through specific paths, such as Network Virtual Appliances (NVAs), ensuring efficient routing and control over data flow. NSGs allow you to define security rules to permit or deny traffic to and from your resources, enhancing security by controlling access.
",Efficient routing,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview'}]",YAML,,,,
Use Network Security Groups (NSGs) for Basic Security Needs,"NSGs provide a cost-effective option for controlling inbound and outbound traffic at the subnet or virtual machine level.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/networkSecurityGroups,75bd56ec-5b6f-4b28-a4c4-ec98dc050d73,Manual,content/azure-resources/network/networkSecurityGroups/recommendations.yaml,Use Network Security Groups (NSGs) for Basic Security Needs,75bd56ec-5b6f-4b28-a4c4-ec98dc050d73,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/networkSecurityGroups,Active,"NSGs provide a cost-effective option for controlling inbound and outbound traffic at the subnet or virtual machine level.
",Optimize cost,False,False,False,,"[{'name': 'About Network security groups', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview'}]",YAML,,,,
Leverage Content Delivery Network (CDN),"For content-heavy applications, use Azure CDN to cache content closer to users, reducing repeated data transfers from origin servers, lowering egress costs, and improving application performance. Implementing Azure CDN can significantly enhance user experience by reducing latency and load times.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Cdn/profiles,64b3f568-fe4d-4368-b5cb-20c4130df1f4,Manual,content/azure-resources/network/cdn/profiles/recommendations.yaml,Leverage Content Delivery Network (CDN),64b3f568-fe4d-4368-b5cb-20c4130df1f4,,UsageOptimization/OptimizeResources,Low,Microsoft.Cdn/profiles,Active,"For content-heavy applications, use Azure CDN to cache content closer to users, reducing repeated data transfers from origin servers, lowering egress costs, and improving application performance. Implementing Azure CDN can significantly enhance user experience by reducing latency and load times.
",Reduce Latency,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/cdn/cdn-optimization-overview'}]",YAML,,,,
Select the Appropriate Application Gateway Tier,"The Standard tier offers essential Layer 7 load balancing features, including SSL offloading and URL-based routing. In contrast, the WAF tier provides all the functionalities of the Standard tier, along with additional protection against common web vulnerabilities by inspecting incoming traffic using predefined rulesets.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/applicationGateways,2acd3728-7e37-48d7-87a0-a32c499b55c5,Manual,content/azure-resources/network/applicationGateway/recommendations.yaml,Select the Appropriate Application Gateway Tier,2acd3728-7e37-48d7-87a0-a32c499b55c5,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/applicationGateways,Active,"The Standard tier offers essential Layer 7 load balancing features, including SSL offloading and URL-based routing. In contrast, the WAF tier provides all the functionalities of the Standard tier, along with additional protection against common web vulnerabilities by inspecting incoming traffic using predefined rulesets.
",Improve security,False,False,False,,"[{'name': 'Understanding Pricing for Azure Application Gateway and Web Application Firewall', 'url': 'https://learn.microsoft.com/en-us/azure/application-gateway/understanding-pricing'}]",YAML,,,,
Use Autoscaling for Application Gateway,"Optimize resource allocation based on traffic demand. With autoscaling enabled, the Application Gateway and WAF v2 SKUs scale out or in based on application traffic requirements.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/applicationGateways,4d72ab17-c0df-4d46-bd03-5be366af2301,Manual,content/azure-resources/network/applicationGateway/recommendations.yaml,Use Autoscaling for Application Gateway,4d72ab17-c0df-4d46-bd03-5be366af2301,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/applicationGateways,Active,"Optimize resource allocation based on traffic demand. With autoscaling enabled, the Application Gateway and WAF v2 SKUs scale out or in based on application traffic requirements.
",Improve efficiency,False,False,False,,"[{'name': 'Scaling Application Gateway v2 and WAF v2', 'url': 'https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-autoscaling-zone-redundant'}]",YAML,,,,
Apply DDoS Protection Plans Selectively,"While all Azure services include free basic DDoS protection, mission-critical applications can benefit from the enhanced features of the Azure DDoS Protection Plan (Standard). This premium service offers advanced mitigation capabilities, including always-on traffic monitoring, adaptive real-time tuning, and detailed attack analytics, which are essential for protecting high-priority workloads.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/ddosProtectionPlans,a480a35f-d045-406b-a370-67fcb564024c,Manual,content/azure-resources/network/ddosProtectionPlans/recommendations.yaml,Apply DDoS Protection Plans Selectively,a480a35f-d045-406b-a370-67fcb564024c,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/ddosProtectionPlans,Active,"While all Azure services include free basic DDoS protection, mission-critical applications can benefit from the enhanced features of the Azure DDoS Protection Plan (Standard). This premium service offers advanced mitigation capabilities, including always-on traffic monitoring, adaptive real-time tuning, and detailed attack analytics, which are essential for protecting high-priority workloads.
",Targeted protection,False,False,False,,"[{'name': 'Building a DDoS Response Plan', 'url': 'https://techcommunity.microsoft.com/blog/azurenetworksecurityblog/building-a-ddos-response-plan/4372256'}]",YAML,,,,
Consider DDoS Protection Per IP for Limited Public IPs,"For customers with a few public IPs, DDoS Protection per IP may be more cost-effective than the VNet-based plan.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/ddosProtectionPlans,b53f36fe-628d-4f7a-b935-612b02983eac,Manual,content/azure-resources/network/ddosProtectionPlans/recommendations.yaml,Consider DDoS Protection Per IP for Limited Public IPs,b53f36fe-628d-4f7a-b935-612b02983eac,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/ddosProtectionPlans,Active,"For customers with a few public IPs, DDoS Protection per IP may be more cost-effective than the VNet-based plan.
",Optimize cost,False,False,False,,"[{'name': 'About Azure DDoS Protection Tier Comparison', 'url': 'https://learn.microsoft.com/en-us/azure/ddos-protection/ddos-protection-sku-comparison'}]",YAML,,,,
Right-Size Network Gateways,"Configure VPN gateways with appropriate SKU sizes that align with your traffic needs. Avoid over-provisioning to prevent unnecessary costs while ensuring scalability.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/virtualNetworkGateways,fd1d7585-5edb-41f3-81e2-8d1eea419b3b,Manual,content/azure-resources/network/virtualNetworkGateways/recommendations.yaml,Right-Size Network Gateways,fd1d7585-5edb-41f3-81e2-8d1eea419b3b,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/virtualNetworkGateways,Active,"Configure VPN gateways with appropriate SKU sizes that align with your traffic needs. Avoid over-provisioning to prevent unnecessary costs while ensuring scalability.
",Optimize cost,False,False,False,,"[{'name': 'Azure VPN Gateway', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'}, {'name': 'About gateway SKUs', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/about-gateway-skus'}]",YAML,,,,
Leverage Virtual Network Gateway for Scalability,"To enhance scalability in development environments, consider selecting an appropriate Virtual Network Gateway SKU that aligns with your anticipated traffic demands. For instance, higher-tier SKUs allocate more CPUs and network bandwidth, supporting increased network throughput. This flexibility allows you to start with a lower-capacity gateway in development and scale up as needed. 
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/virtualNetworkGateways,e30cff0c-8e71-480e-89a8-40e973f3be7f,Manual,content/azure-resources/network/virtualNetworkGateways/recommendations.yaml,Leverage Virtual Network Gateway for Scalability,e30cff0c-8e71-480e-89a8-40e973f3be7f,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/virtualNetworkGateways,Active,"To enhance scalability in development environments, consider selecting an appropriate Virtual Network Gateway SKU that aligns with your anticipated traffic demands. For instance, higher-tier SKUs allocate more CPUs and network bandwidth, supporting increased network throughput. This flexibility allows you to start with a lower-capacity gateway in development and scale up as needed. 
",Improve scalability,False,False,False,,"[{'name': 'About gateway SKUs', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'}]",YAML,,,,
"Disallow creation of public IPs using policies, if not required","Leverage Azure Policy to deny the network interfaces which are configured with any public IP. Public IP addresses allow internet resources to communicate inbound to Azure resources, and Azure resources to communicate outbound to the internet. This should be reviewed by the network security team.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Network/publicIPAddresses,312c7949-4dbb-4ffc-9ceb-2d4063ad3c1f,Manual,content/azure-resources/network/publicIPAddresses/recommendations.yaml,"Disallow creation of public IPs using policies, if not required",312c7949-4dbb-4ffc-9ceb-2d4063ad3c1f,,UsageOptimization/OptimizeResources,Low,Microsoft.Network/publicIPAddresses,Active,"Leverage Azure Policy to deny the network interfaces which are configured with any public IP. Public IP addresses allow internet resources to communicate inbound to Azure resources, and Azure resources to communicate outbound to the internet. This should be reviewed by the network security team.
",Enhance security,False,False,False,,"[{'name': 'Disallow creation of public IPs using policies, if not required', 'url': 'https://portal.azure.com/#blade/Microsoft_Azure_Policy/PolicyDetailBlade/definitionId/%2fproviders%2fMicrosoft.Authorization%2fpolicyDefinitions%2f83a86a26-fd1f-447c-b59d-e51f44264114'}]",YAML,,,,
